"id","length_B"
"28003",113701.82838186
"41033",621.141878439691
"45002",651041.069795014
"39116",4983.72439244162
"41020",59374.067107872
"33033",73451.4059130564
"36001",771484.972606998
"39074",32513.166790323
"46006",68097.4926492807
"38002",90216.8583400834
"39079",789138.710824298
"37001",350885.495806375
"37017",150968.36195928
"41015",5276.59086205174
"69022",208147.479793864
"45817",2577.24243985845
"33014",142838.593406805
"40014",6812.61341018029
"54013",114476.399944666
"54014",1285995.30694534
"54015",117259.798258526
"54092",7710.00709455059
"54012",610046.897770615
"69019",12807.3881276173
"55034",9628.95372689101
"54107",99429.5885529473
"53018",1368081.04496291
"54088",145084.947620404
"71001",2527817.46391776
"75005",667006.238571412
"55026",310921.593547878
"57008",472186.788855371
"60007",389658.666503277
"84017",283180.905479294
"52009",24136.7388204135
"69006",287496.901693935
"69032",67048.6866550388
"101007",16570.395805643
"66001",657322.900815975
"72008",365746.82523543
"205015",0
"84026",57152.3539911787
"54006",154504.116654982
"54007",307933.869086559
"101006",21816.2232286018
"12008",362052.646113807
"4005",280030.910351331
"4011",121111.494461802
"7009",53714.3624605383
"7006",37395.342817462
"6011",189723.993183814
"7003",441925.824944352
"8003",1018939.20652353
"8005",2111149.75881254
"9005",150119.691626186
"14006",21519.6990804908
"10002",798640.751682314
"14009",36242.4861602272
"14010",39000.8908162117
"19011",279637.662034063
"21023",147740.832703235
"23005",640330.223518092
"23006",968020.000442205
"39033",5182.59251679621
"76017",2183524.89803267
"39001",6728471.19370084
"39002",2550538.39943853
"40027",34542.1495172204
"47004",176991.155653879
"41010",156462.602102461
"33050",37719.0142660986
"36007",49107.2991199947
"37031",55257.0407583276
"41025",151648.938654131
"69803",157046.601496069
"32020",36572.2022981856
"33058",162625.216622765
"39036",6492.31594472105
"39030",10207.0865373698
"39113",63.6688161021212
"38029",66572.1018340891
"36012",114850.700043245
"35010",274670.842309899
"43003",372428.7817751
"43014",54326.0265246721
"47010",133381.302418579
"39127",517.354320565467
"28015",268015.019096594
"28020",391083.80047867
"28021",1394348.40341411
"28024",406967.250352389
"28055",67022.8948640172
"30033",95356.791354887
"33001",3600558.53656522
"29009",29913.4609237957
"30003",202819.409906956
"42009",1732.28759718218
"39121",6179171.84724353
"31009",147528.591812954
"32003",65035.9812275178
"69024",266748.772402825
"69028",1158503.00966767
"69030",131466.661244934
"39094",21955.2300205057
"37014",116398.57063986
"54032",8999250.4412065
"39034",262205.911118553
"71002",120155.228331373
"39105",408972.053833427
"39106",387792.163130832
"33048",12492.9490307671
"42004",182851.665790916
"33066",69508.4266688989
"38015",3080.1884115467
"40002",12922.7641023685
"40020",68022.1591936908
"52015",13968.8890416371
"54065",183246.991117552
"72017",520433.802891512
"53004",134747.747334229
"69041",276234.639142631
"54907",307933.869086559
"54052",34052.3420994185
"54053",171755.061856644
"54070",17544.139817872
"58010",34839.3505790675
"75003",940638.001770772
"203046",0
"205101",0
"96002",1033722.1693575
"96004",222020.483377627
"97002",929267.60752432
"55031",33527.6683195641
"205034",0
"206001",0
"84008",97498.8529473985
"105001",222001.90336581
"55017",55325.0427015134
"80006",27491.6539491164
"56014",45785.80264762
"69039",34761.9580215569
"76023",81275.3580631262
"84035",13216.9700268382
"69003",31667.8213890606
"89007",91539.1423665414
"53026",68781.4460799026
"83011",150617.633776678
"57010",141683.840008763
"76014",162903.378762099
"74003",111343.500454309
"69008",66054.350403816
"203012",0
"86001",131294.593797014
"95003",61238.6102849667
"49007",146540.908210742
"79004",367732.568707022
"80001",477232.444739106
"205005",0
"203026",0
"38027",270446.847643637
"83010",203341.936360512
"203039",0
"84002",54052.3462834123
"80004",3949.92725224219
"21015",365231.449094619
"21018",342757.956552751
"19020",92754.7056564718
"20001",341103.288788642
