"id","area","rainfall","runoff","evapotransmission","Manning_n_hillslope","channel_width","channel_depth","width_B","gradient_perpendicular","length_A","gradient_parallel","length_B","aquifer_thickness","hydraulic_conductivity_A","MvG_alpha","MvG_thetaR","MvG_thetaS","MvG_n","width_A"
4009,17300000,3.35586037795544e-08,1.52601156069364e-08,1.8298488172618e-08,0.103733507906134,0.468080275166557,0.349621241969545,765.4970482,0.171419658,8552.1577605667,0.0452851024075362,28719.8524689122,NA,3.2037037037037e-06,6.55176470588235,0,0.452582352941176,1.19103529411765,602.370782326489
4010,70920000,7.54830917874396e-08,6.99802594472645e-08,5.50283234017509e-09,0.0306493896337803,2.02950681767763,0.929632419529307,702.0618107,0.253539513,37504.2942512425,0.0587638557792252,154222.898564291,NA,3.2037037037037e-06,7.07856209150327,0,0.445981045751634,1.19068235294118,459.85389109021
4011,58360000,7.82400309081395e-08,7.28923920493489e-08,5.34763885879068e-09,0.027094,1.87895820443138,0.883071084053768,655.9938513,0.279565331,29853.1036314351,0.0605751146637766,121111.494461802,NA,3.2037037037037e-06,6.98825396825397,0,0.447112698412698,1.19074285714286,481.870034378995
5001,849500000,6.82263209984708e-08,5.37174808711007e-08,1.45088401273702e-08,0.0421961985874533,6.15400560553856,1.94755400476326,726.4267926,0.25972255,527169.462452142,0.0664385587532725,1483586.33249489,0,3.2037037037037e-06,6.91864452912357,0,0.447984975503538,1.19078949373979,572.598966028103
5002,311300000,6.94305013040639e-08,6.22357854159974e-08,7.19471588806646e-09,0.0321797013678605,4.00984905626134,1.46375907540409,733.3253311,0.274093297,185244.919860193,0.0709853464141693,542261.569844488,0,3.2037037037037e-06,7.16314589665653,0,0.444921124620061,1.19062568389058,574.077193206363
5003,481800000,7.12684607178639e-08,6.54047322540473e-08,5.86372846381653e-09,0.0454924675324675,5.11394862625741,1.72142652870683,732.9442876,0.259903292,291753.810420957,0.0657792040570703,821972.456419384,0,3.2037037037037e-06,6.75742802303263,0,0.450005182341651,1.19089750479846,586.151027613239
5004,277500000,7.00009025014501e-08,1.77477477477477e-08,5.22531547537023e-08,0.0518416177832664,2.02172226702878,0.927253711945169,719.1240435,0.256411912,186108.876146675,0.0644266548954097,497985.306312793,0,3.2037037037037e-06,6.88468120805369,0,0.448410570469799,1.19081224832215,557.245357407589
6001,1792300000,5.63746516750021e-08,4.11577302906879e-08,1.52169213843142e-08,0.0546657023465124,7.82437105504334,2.2856893750854,641.2488127,0.198318519,1298030.92856147,0.0501547466369162,4004637.34472486,17.2957463425118,NA,NA,NA,NA,NA,447.556131983067
6003,3.91e+08,6.70221406928777e-08,5.30102301790281e-08,1.40119105138496e-08,0.0499409407298038,4.14750196708814,1.49706957664072,661.8411025,0.225382984,276117.472762985,0.0578163735917203,900869.398568591,0,3.2037037037037e-06,6.97372941176471,0,0.447294705882353,1.19075258823529,434.025176813939
6006,27500000,4.91178808860333e-08,3.2e-08,1.71178808860333e-08,0.0385114503816794,0.854593751439829,0.522264764419843,757.2488234,0.189466769,20279.6742108173,0.0518460321680376,53886.5355702231,NA,3.2037037037037e-06,7.5,0,0.4407,1.1904,510.331564443644
6007,1839100000,5.59310062992573e-08,4.91544777336741e-08,6.77652856558323e-09,0.054969466466681,8.66168911933464,2.44597855898509,644.0443017,0.195682037,1319360.15776548,0.0496768534428439,4040752.69204373,17.2957463425118,NA,NA,NA,NA,NA,455.137975561138
6008,105900000,4.08787524793439e-08,3.0604343720491e-08,1.02744087588528e-08,0.0608242994477398,1.64005303603268,0.80653430801741,554.4366445,0.158838334,88467.2698659284,0.0351493258184304,222616.258638531,0,3.2037037037037e-06,7.21842794759825,0,0.444228384279476,1.19058864628821,475.70649442974
6009,403100000,6.75291639794433e-08,1.40337385264202e-08,5.3495425453023e-08,0.0496273619761427,2.16676327664099,0.971087942751531,663.02713,0.224671092,273419.527280401,0.0579841246947714,887548.858266612,0,3.2037037037037e-06,6.96491626794258,0,0.44740514354067,1.19075849282297,454.172180207923
6011,75900000,5.1209351943116e-08,4.69169960474308e-08,4.29235589568522e-09,0.030323744612609,1.719112759827,0.83225004408705,557.3371975,0.222067542,55811.9797760228,0.0580384360366581,189723.993183814,NA,3.2037037037037e-06,7.32693251533742,0,0.442868711656442,1.19051595092025,400.054830842952
6012,56200000,4.2177999651168e-08,3.01423487544484e-08,1.20356508967196e-08,0.0558001422475107,1.18570071012883,0.649682204215765,580.5215698,0.156175814,43877.7779263464,0.0311649602885468,112617.978508478,0,3.2037037037037e-06,7.26685950413223,0,0.443621487603306,1.19055619834711,499.032221536184
6013,9220000,2.47490741754787e-08,1.93058568329718e-08,5.44321734250693e-09,0.08919,0.384351321059262,0.306574834894631,734.871352,0.106938293,8062.81248840552,0.0327614800985059,12316.9737905477,NA,3.2037037037037e-06,5.888,0,0.4609,1.19148,748.560495198554
7001,415600000,3.85654587343888e-08,3.35779595765159e-08,4.98749915787288e-09,0.0369622603633444,3.40316728284109,1.31211867247183,681.1656858,0.142011417,260790.597386269,0.0354955689458475,733177.220997588,0,3.2037037037037e-06,7.2871797752809,0,0.443366853932584,1.19054258426966,566.847943577024
7002,781900000,3.37487375120165e-08,2.51285330604937e-08,8.62020445152278e-09,0.0442347607052897,4.03810448205591,1.47062728315178,710.1102824,0.115693806,499700.71574445,0.029512226830419,1286630.5905547,0,3.2037037037037e-06,7.33208333333333,0,0.442804166666667,1.1905125,607.711339789382
7003,2.16e+08,2.63968998568166e-08,1.24953703703704e-08,1.39015294864463e-08,0.0817558628983764,1.49664851551725,0.758806071396318,650.0988282,0.082041463,174363.092735833,0.0205372028413045,441925.824944352,NA,3.2037037037037e-06,6.27460385438972,0,0.456055460385439,1.19122098501071,488.769806623542
7004,3.13e+08,2.98509959965441e-08,1.75623003194888e-08,1.22886956770553e-08,0.0657763117520712,2.13590162156406,0.961844976851423,705.888056,0.096349471,208522.971088617,0.026750415455433,521612.022926006,86.7118911457352,3.2037037037037e-06,6.40701515151515,0,0.454396212121212,1.19113227272727,600.062855614816
7005,1.65e+08,2.76010801624097e-08,1.74606060606061e-08,1.01404741018036e-08,0.040363321799308,1.54628664904021,0.775492475681149,791.9107599,0.085040505,91488.1947904714,0.0148840631078297,240342.762752096,0,3.2037037037037e-06,7.38551136363636,0,0.442134659090909,1.19047670454545,686.519527821984
7006,2e+07,3.02946413722889e-08,1.86e-08,1.16946413722889e-08,0.101562342759384,0.555635322851239,0.391962165974056,655.9004975,0.063906516,15280.0346926316,0.0158063284475817,37395.342817462,NA,3.2037037037037e-06,7.5,0,0.4407,1.1904,534.825956740818
7007,4.4e+07,2.55729870161477e-08,1.08409090909091e-08,1.47320779252386e-08,0.0950195136595617,0.629183849919878,0.425829713150299,632.1318279,0.084053201,37648.2626723991,0.0293080465958336,117236.944674135,NA,3.2037037037037e-06,5.84557894736842,0,0.461431578947368,1.19150842105263,375.308313623319
7008,128100000,3.27980688497061e-08,2.04918032786885e-08,1.23062655710176e-08,0.0587195828505214,1.47598869406239,0.751806838063856,689.0671691,0.127385053,88051.251166076,0.0309121226189089,246512.45554966,NA,3.2037037037037e-06,6.85985559566787,0,0.44872166064982,1.19082888086643,519.649198716428
7009,28300000,2.54462311945063e-08,1.12014134275618e-08,1.42448177669445e-08,0.0976537653765377,0.512918080203847,0.371606175803739,579.1501891,0.057839846,26340.0611270031,0.0185483649886539,53714.3624605383,NA,3.2037037037037e-06,6.7072131147541,0,0.450634426229508,1.19093114754098,526.860949355786
