"id","depth","KS","HCC_thr","HCC_ths","HCC_alp","HCC_n"
"70005",100,2.68038085255066e-07,0,0.432652830188679,3.68547169811321,1.1726
"70005",200,3.13198812019567e-07,0,0.432788679245283,3.78311320754717,1.17335
"7001",0,3.2037037037037e-06,0.108493258426966,0.691239550561798,0.774022471910112,1.4613593258427
"7001",5,3.2037037037037e-06,0.107616292134831,0.688997528089888,0.845696629213483,1.45915752808989
"7001",15,3.2037037037037e-06,0,0.445125842696629,7.14680898876404,1.19063662921348
"7001",30,3.2037037037037e-06,0,0.443366853932584,7.2871797752809,1.19054258426966
"7001",60,6.48148148148148e-08,0,0.436719550561798,6.60842696629213,1.19505168539326
"7001",100,6.48148148148148e-08,0,0.436854382022472,6.70533707865169,1.19579606741573
"7001",200,6.48148148148148e-08,0,0.436892134831461,6.73247191011236,1.19600449438202
"7002",0,3.2037037037037e-06,0.10944255952381,0.692923988095238,0.755690476190476,1.46370303571429
"7002",5,3.2037037037037e-06,0.103602083333333,0.679744464285714,1.09321428571429,1.44913303571429
"7002",15,3.2037037037037e-06,0,0.444247023809524,7.21694047619048,1.19058964285714
"7002",30,3.2037037037037e-06,0,0.442804166666667,7.33208333333333,1.1905125
"7002",60,6.9088955026455e-08,0,0.43678,6.651875,1.19538541666667
"7002",100,7.05136684303351e-08,0,0.436894285714286,6.73401785714286,1.19601636904762
"7002",200,6.9088955026455e-08,0,0.436914285714286,6.74839285714286,1.19612678571429
"7003",0,3.2037037037037e-06,0.0921605995717345,0.659816059957174,1.28436830835118,1.42090535331906
"7003",5,3.2037037037037e-06,0.0637483940042827,0.602101284796574,2.41561027837259,1.3503687366167
"7003",15,3.2037037037037e-06,0,0.457136830835118,6.18830835117773,1.19127880085653
"7003",30,3.2037037037037e-06,0,0.456055460385439,6.27460385438972,1.19122098501071
"7003",60,1.77571575858514e-07,0,0.435931049250535,6.04169164882227,1.19069850107066
"7003",100,2.66035173288921e-07,0,0.436208565310493,6.24115631691649,1.19223062098501
"7003",200,2.75723193750496e-07,0,0.436455246252677,6.41845824411135,1.19359250535332
"7004",0,3.2037037037037e-06,0.0908893939393939,0.658647121212121,1.22219696969697,1.417825
"7004",5,3.2037037037037e-06,0.078894696969697,0.635447575757576,1.60674242424242,1.38810909090909
"7004",15,3.2037037037037e-06,0,0.456232575757576,6.2604696969697,1.19123045454545
"7004",30,3.2037037037037e-06,0,0.454396212121212,6.40701515151515,1.19113227272727
"7004",60,1.04706790123457e-07,0,0.43596,6.0625,1.19085833333333
"7004",100,1.66358024691358e-07,0,0.436134545454545,6.18795454545455,1.19182196969697
"7004",200,1.2283950617284e-07,0,0.436323636363636,6.32386363636364,1.19286590909091
"7005",0,3.2037037037037e-06,0.110866477272727,0.69573125,0.705795454545455,1.46723352272727
"7005",5,3.2037037037037e-06,0.106748579545455,0.687417045454546,0.865710227272727,1.45701306818182
"7005",15,3.2037037037037e-06,0,0.443138920454546,7.30536931818182,1.19053039772727
"7005",30,3.2037037037037e-06,0,0.442134659090909,7.38551136363636,1.19047670454545
"7005",60,6.48148148148148e-08,0,0.436822727272727,6.68258522727273,1.19562130681818
"7005",100,6.48148148148148e-08,0,0.436945454545455,6.77079545454546,1.19629886363636
"7005",200,6.48148148148148e-08,0,0.436945454545455,6.77079545454546,1.19629886363636
"7006",0,3.2037037037037e-06,0.1115,0.6969,0.69,1.4688
"7006",5,3.2037037037037e-06,0.1115,0.6969,0.69,1.4688
"7006",15,3.2037037037037e-06,0,0.4407,7.5,1.1904
"7006",30,3.2037037037037e-06,0,0.4407,7.5,1.1904
"7006",60,6.48148148148148e-08,0,0.437,6.81,1.1966
"7006",100,6.48148148148148e-08,0,0.437,6.81,1.1966
"7006",200,6.48148148148148e-08,0,0.437,6.81,1.1966
"7007",0,3.2037037037037e-06,0.110326315789474,0.694734736842105,0.719263157894737,1.46589789473684
"7007",5,3.2037037037037e-06,0.0598578947368421,0.596312631578947,2.40178947368421,1.34082315789474
"7007",15,3.2037037037037e-06,0,0.463026315789474,5.71831578947368,1.19159368421053
"7007",30,3.2037037037037e-06,0,0.461431578947368,5.84557894736842,1.19150842105263
"7007",60,6.48148148148148e-08,0,0.435888421052632,6.01105263157895,1.19046315789474
"7007",100,1.40399610136452e-07,0,0.436191578947368,6.22894736842105,1.19213684210526
"7007",200,1.40399610136452e-07,0,0.436595789473684,6.51947368421053,1.19436842105263
"7008",0,3.2037037037037e-06,0.0994241877256318,0.67462202166065,0.991083032490975,1.43894079422383
"7008",5,3.2037037037037e-06,0.0958014440433213,0.667756317689531,1.09595667870036,1.42997328519856
"7008",15,3.2037037037037e-06,0,0.450180144404332,6.74346570397112,1.19090685920578
"7008",30,3.2037037037037e-06,0,0.448721660649819,6.85985559566787,1.19082888086643
"7008",60,6.48148148148148e-08,0,0.43641083032491,6.38653429602888,1.19334729241877
"7008",100,6.48148148148148e-08,0,0.436480144404332,6.43635379061372,1.19372996389892
"7008",200,6.48148148148148e-08,0,0.436618772563177,6.53599277978339,1.19449530685921
"7009",0,3.2037037037037e-06,0.109672131147541,0.693527868852459,0.735573770491803,1.46428032786885
"7009",5,3.2037037037037e-06,0.0749426229508197,0.622006557377049,2.19606557377049,1.37800819672131
"7009",15,3.2037037037037e-06,0,0.450634426229508,6.7072131147541,1.19093114754098
"7009",30,3.2037037037037e-06,0,0.450634426229508,6.7072131147541,1.19093114754098
"7009",60,6.48148148148148e-08,0,0.436449180327869,6.41409836065574,1.19355901639344
"7009",100,1.82528840315726e-07,0,0.43692131147541,6.75344262295082,1.19616557377049
"7009",200,1.04052823315118e-07,0,0.437,6.81,1.1966
"7010",0,3.2037037037037e-06,0.100790960451977,0.677143502824859,0.957005649717514,1.44232033898305
"7010",5,3.2037037037037e-06,0.053545197740113,0.578855367231638,3.02293785310734,1.32490338983051
