id,width_B,gradient_perpendicular
43012,957.8168105,0.053120291
47015,649.5875282,0.112936447
39129,755.8577234,0.047191691
39131,652.5013791,0.03556209
39095,1233.017612,0.027213409
56004,579.4899908,0.148049851
56006,542.9236432,0.140945532
27075,610.8924371,0.04739553
28058,740.2479204,0.083018749
31011,856.597695,0.045530708
33002,646.1393013,0.031285861
33004,697.3932455,0.030452207
28066,646.2259717,0.029492125
30004,596.1381967,0.055965854
30006,602.3084893,0.028799006
39098,601.3670937,0.031872017
45012,448.7515047,0.108981396
31005,722.3455773,0.042464113
31028,717.5006417,0.047876669
69045,472.9025852,0.081718115
54038,578.7658939,0.189821633
67025,515.8369843,0.085515473
39120,785.2789395,0.039630084
39093,651.5168733,0.036581904
42027,1225.92144,0.031442557
39123,617.4183324,0.027648708
41017,493.2502276,0.073450176
42005,1851.437236,0.036002278
34008,627.8275923,0.019222158
41018,649.4476113,0.050175924
67027,556.034411,0.133697457
38014,755.3197136,0.036474919
40004,457.7370222,0.086356679
42008,1123.815931,0.055505039
67008,612.5072198,0.099812514
70005,374.5717675,0.042593031
75001,517.6877226,0.377457459
69012,485.9665521,0.100999409
88001,530.3268187,0.140971784
108001,#ARG!,NA
63002,511.9660911,0.193942476
68002,645.5592815,0.034444604
68003,452.6461198,0.0745925
55011,442.44161,0.198096799
55012,500.0355052,0.170034561
53017,882.3603987,0.045971497
69035,519.2662849,0.10885433
72015,453.736819,0.166617925
55025,680.357093,0.133577253
96005,802.9178528,0.233750654
66005,598.1293613,0.133331995
54067,789.0487865,0.030216811
72007,419.9224408,0.077990382
66006,489.7283194,0.128032239
76005,604.5946883,0.096536752
76010,752.9201725,0.048193991
50005,673.7301614,0.090586779
65006,505.1726272,0.18732813
236005,#ARG!,NA
75018,558.6214802,0.227520526
203093,#ARG!,NA
64006,553.7307526,0.195082178
54066,380.5511797,0.022212105
49003,545.3057414,0.067622642
106001,686.290935,0.057560455
73014,522.0977735,0.328964013
54084,621.3073145,0.11683907
82003,487.5773058,0.104425583
83007,445.1760684,0.053269736
83008,438.1074549,0.047415467
90003,519.1082128,0.351042061
56012,628.86289,0.275885377
89008,545.7220395,0.29741686
83012,676.0666565,0.04507411
73017,470.1163974,0.195827741
33023,676.8568219,0.031069392
28017,662.1159899,0.026810088
85002,540.0749667,0.115806073
89004,477.0309343,0.347325321
39108,797.5829364,0.075646508
203040,#ARG!,NA
81005,478.7052819,0.055599133
19007,663.2413126,0.075422062
23002,607.5281038,0.107914372
27048,578.9320855,0.098447408
25001,571.6194568,0.094050213
23012,600.4824602,0.088212964
25005,492.2364676,0.081704088
23017,769.5273085,0.061052178
24001,636.9542328,0.09250241
25022,533.9005958,0.086528819
25809,1623.528137,0.068069354
25023,619.6916158,0.114223404
27069,490.3360217,0.039664226
27013,658.67086,0.138470785
