"id","area","rainfall","runoff","evapotransmission","Manning_n_hillslope","channel_width","channel_depth"
"9006",46500000,2.60800103027132e-08,1.2258064516129e-08,1.38219457865842e-08,0.0903590359035904,0.687789917053165,0.451878266630808
"9007",88300000,2.76644580732304e-08,1.06568516421291e-08,1.70076064311013e-08,0.0490217065119536,0.883716957515244,0.534063679329373
"9008",5.3e+07,2.61750771689442e-08,1.49433962264151e-08,1.12316809425291e-08,0.0548724872487249,0.810738818609298,0.504241086000919
"9009",9.5e+07,2.63968998568166e-08,1.81052631578947e-08,8.29163669892189e-09,0.0458184910946568,1.19476529912782,0.652989179223565
"9010",225490000,3.28297578051165e-08,2.22049758304138e-08,1.06247819747027e-08,0.0482611522304461,2.03848336932142,0.9323715920238
"10001",448100000,2.63018329905856e-08,1.50658335193037e-08,1.12359994712819e-08,0.0427901741044627,2.36702274408169,1.03003631925691
"10002",3.25e+08,2.57314317931994e-08,1.51384615384615e-08,1.05929702547379e-08,0.0454150395514168,2.0206957514678,0.926939814252956
"10003",5.23e+08,2.61750771689442e-08,1.56214149139579e-08,1.05536622549863e-08,0.0426485891534921,2.60393060007367,1.09766678072773
"11001",1.273e+09,2.80130365827442e-08,1.65239591516104e-08,1.14890774311338e-08,0.0574211316975463,4.17820394846877,1.50444855340982
"11002",7.87e+08,2.90270831558752e-08,1.82935196950445e-08,1.07335634608307e-08,0.0603198518370207,3.45664181497013,1.32582795085976
"11003",4.99e+08,3.06432198818027e-08,2.02024048096192e-08,1.04408150721835e-08,0.053523113868321,2.89247879871227,1.17732863534879
"11004",1.98e+08,2.75693912069994e-08,1.66414141414141e-08,1.09279770655852e-08,0.0546008802640792,1.65365948580716,0.810989021728955
"11005",1.87e+08,3.36536706457854e-08,2.14117647058824e-08,1.22419059399031e-08,0.0440532159647894,1.8229107723638,0.865421855107858
"11006",103400000,3.37487375120165e-08,2.64893617021277e-08,7.25937580988880e-09,0.0378306322529012,1.50769811931965,0.762536282856484
"12001",1.37e+09,3.51113625946613e-08,2.7178102189781e-08,7.93326040488023e-09,0.0446995470558631,5.55889184226497,1.81988131932003
"12002",1.844e+09,3.42240718431716e-08,2.56095444685466e-08,8.61452737462498e-09,0.0505175015087508,6.2603665470961,1.9699298408367
"12003",6.9e+08,3.90091041101336e-08,3.38724637681159e-08,5.13664034201764e-09,0.0358161115569823,4.40419273102347,1.55821887770301
