"","id","name","AREA","BFI","GDF","QMED","RMED","SAAR","RGRAD","R2","years","no_groundwater_index"
"1180",56015,"Olway Brook at Olway Inn",105.1,0.43,1.675,NA,36.5,2.7002164915632,0.355961084451007,0.263476836417694,43,0
"1181",56019,"Ebbw at Aberbeeg",71.7,0.51,2.676,39.171,51.2,4.2567391512597,0.355203653365541,0.51003626801934,29,0
"1182",57001,"Taf Fechan at Taf Fechan Reservoir",33.7,0.46,0.783,NA,61.4,5.31763925729443,0.152737996231439,0.280193568957643,27,0
"1183",57002,"Taf Fawr at Llwynon Reservoir",43,0.34,1.093,NA,63.7,5.48256991397645,0.163548325718309,0.285903923368709,73,0
"1184",57003,"Taff at Tongwynlais",486.9,0.44,21.373,NA,60.1,5.17829369573424,2.8438469619525,0.498453101930738,8,0
"1185",57004,"Cynon at Abercynon",106,0.4,4.45,76.13,67.3,5.25721815785886,0.68767555331681,0.598182417229591,61,0
"1186",57005,"Taff at Pontypridd",454.8,0.44,20.953,352.8,63.6,5.34469552117736,3.06306412434805,0.546451145141724,48,0
"1187",57006,"Rhondda at Trehafod",100.5,0.39,5.953,116.4,77.2,6.44368735152674,0.754404768566802,0.609243088413162,48,0
"1188",57007,"Taff at Fiddlers Elbow",194.5,0.45,7.08,160.9,57.6,4.931907330228,1.20876245956613,0.452921463774016,45,0
"1189",57008,"Rhymney at Llanedeyrn",178.7,0.47,5.773,90.97,48.2,4.05639449987832,0.941418095526338,0.442537863780356,45,0
"1190",57009,"Ely at St Fagans",145,0.47,4.753,53.912,42.7,3.91836877626385,0.727021997864465,0.374257249399029,43,0.103492595673008
"1191",57010,"Ely at Lanelay",39.4,0.41,1.56,38.99,53.15,4.75534495830174,0.226693187581692,0.480477623941828,44,0
"1192",57014,"Rhymney at Bargoed",63.2,0.42,2.313,58.021,50.4,4.31988905204764,0.396578874859687,0.488382267846459,17,0
"1193",57015,"Taff at Merthyr Tydfil",104.1,0.37,3.847,91.275,60.95,5.40225988700565,0.715307415974742,0.424439106803031,40,0
"1194",57017,"Rhondda Fawr at Tynewydd",16.6,0.36,1.148,24.3,73.45,6.83036935704514,0.136249601583211,0.689045800241136,2,0
"1195",58001,"Ogmore at Bridgend",158,0.47,6.777,117.25,54.1,4.93909467097295,0.848008959481411,0.411012519433548,55,0.0403296518425779
"1196",58002,"Neath at Resolven",190.9,0.34,9.566,222.535,64.7,5.45776225162281,1.57821259053843,0.5732703603887,47,0
"1197",58003,"Ewenny at Ewenny Priory",62.9,0.6,1.599,NA,37.95,3.03923357664234,0.294226197011856,0.424506993933105,4,0.220783385080914
"1198",58004,"Afan at Cwmafan",81.5,0.44,5.294,NA,69.65,6.19712525667351,0.539448775461542,0.509654993867192,20,0
"1199",58005,"Ogmore at Brynmenyn",74.3,0.48,3.962,55.7,61.25,5.4748884639898,0.462421585333453,0.409013371963744,48,0
"1200",58006,"Mellte at Pontneddfechan",65.8,0.36,3.346,87.37,64.1,5.54856753877116,0.483794703677296,0.595919516624752,47,0
"1201",58007,"Llynfi at Coytrahen",50.2,0.46,2.389,44.565,54.9,4.97642968885799,0.291842464116701,0.426994580271165,48,0
"1202",58008,"Dulais at Cilfrew",43,0.36,2.125,57.66,57.9,5.12804675447965,0.352403752543496,0.581347292890749,47,0
"1203",58009,"Ewenny at Keepers Lodge",62.5,0.56,1.87,29.347,41.3,3.71735159817352,0.288450041054942,0.32073436863469,47,0.21702312550724
"1204",58010,"Hepste at Esgair Carnau",11,0.19,0.633,NA,66.5,5.85694884563151,0.118065051936852,0.590797974692728,35,0
"1205",58011,"Thaw at Gigman Bridge",49.2,0.67,1.047,NA,37.15,3.25049934296978,0.074770208525646,0.172500991708938,42,0.437031826202199
"1206",58012,"Afan at Marcroft Weir",87.8,0.45,5.246,102.3,64.75,5.85615331964408,0.634639129597597,0.547899916207585,40,0
"1207",59001,"Tawe at Ynystanglws",227.7,0.35,12.224,255.325,57.6,5.27103194438133,2.01167474733389,0.584618795769567,61,0
"1208",59002,"Loughor at Tir-y-dail",46.4,0.44,2.144,58.432,48.8,4.29747752655952,0.386159319199924,0.523969837781273,51,0
"1209",60001,"Tywi at Ty Castell",1087.8,NA,NA,393.45,NA,NA,NA,NA,NA,0
"1210",60002,"Cothi at Felin Mynachdy",297.8,0.43,11.875,178.5,45.7,4.38601674291833,2.05711104635827,0.46241988595561,57,0
"1211",60003,"Taf at Clog-y-Fran",217.3,0.55,7.47,77.74,41.5,4.0239717055279,0.922607248662467,0.327153068957097,53,0
"1212",60004,"Dewi Fawr at Glasfryn Ford",36.67,0.53,1.298,NA,45.1,4.13818417055746,0.158828201146407,0.341555132252932,43,0
"1213",60005,"Bran at Llandovery",66.8,0.41,2.475,38.842,45.55,4.11834454388793,0.482678963745449,0.431095180409872,50,0
"1214",60006,"Gwili at Glangwili",129.5,0.48,5.156,81.325,49.8,4.54382678303408,0.709750099841238,0.412390490768438,50,0
"1215",60007,"Tywi at Dolau Hirion",231.8,0.47,10.289,171.6,44.45,4.7064039135027,1.70706458384861,0.434656916366219,50,0
"1216",60008,"Tywi at Ystradffin",89.8,0.6,4.292,NA,46.3,5.0936906269791,0.478463109442868,0.33002021232282,35,0
"1217",60009,"Sawdde at Felin-y-cwm",77.5,0.41,3.284,126.862,57.15,5.13421940437413,0.668122390233095,0.551379256403954,48,0
"1218",60010,"Tywi at Capel Dewi",1090.4,0.46,40.229,NA,45.8,4.32822273781903,6.05982981902272,0.520295564410513,59,0
"1219",60012,"Twrch at Ddol Las",20.7,0.35,0.706,15.266,45.7,4.28896990740741,0.140277261743614,0.445682639439328,41,0
"1220",60013,"Cothi at Pont Ynys Brechfa",261.6,0.44,8.361,122.902,42.45,4.0629179331307,1.08846346463937,0.367090645110954,6,0
"1221",60017,"Twrch at Gurnos",49.89,NA,NA,72.1,NA,NA,NA,NA,NA,0
"1222",61001,"Western Cleddau at Prendergast Mill",197.6,0.63,5.434,71.878,41.7,3.53898305084746,0.644814529968394,0.363979724827353,40,0
"1223",61002,"Eastern Cleddau at Canaston Bridge",183.1,0.56,6.128,80.65,43.35,4.02217971402611,0.875959070648012,0.376623834589111,58,0
"1224",61003,"Gwaun at Cilrhedyn Bridge",31.3,0.58,1.129,21.721,52.6,4.54221325260679,0.138160363973745,0.482567658562224,49,0
"1225",62001,"Teifi at Glanteifi",893.6,0.54,29.091,211.2,41.8,3.87538490336469,3.70282340248151,0.401015455983869,59,0
"1226",62002,"Teifi at Llanfair",510,0.49,16.305,139,39.65,3.86518320032621,2.12136600246104,0.370329577310934,28,0
"1227",63001,"Ystwyth at Pont Llolwyn",169.6,0.4,6.113,95.095,43.1,4.1469469115866,1.10363312812751,0.505952317694482,55,0
"1228",63002,"Rheidol at Llanbadarn Fawr",182.1,0.42,8.51,NA,52.8,4.99752161383285,1.33558721823175,0.547145734505865,43,0
"1229",63003,"Wyre at Llanrhystud",40.6,0.41,1.019,20.08,38.7,3.33777093315081,0.23852379868281,0.395702343262042,29,0
"1230",63004,"Ystwyth at Cwm Ystwyth",32.1,0.31,2.019,NA,63.2,5.79571440188664,0.290418782263621,0.647962389197701,34,0
"1231",64001,"Dyfi at Dyfi Bridge",471.3,0.38,23.306,321.69,57.8,5.16280164511174,3.63697499292235,0.636715713467214,54,0
"1232",64002,"Dysynni at Pont-y-Garth",75.1,0.48,4.441,73.61,62.25,5.97125256673511,0.428933411719679,0.432043924218221,52,0
"1233",64004,"Twymyn at Cemmaes Road",111.45,0.37,4.199,NA,47.6,4.46694772344013,1.15799205249309,0.594324542830075,7,0
"1234",64006,"Leri at Dolybont",47.2,0.49,1.36,18.455,45.85,4.1439559879782,0.198117383107238,0.428274162499577,54,0
"1235",64010,"Mawddach at Tyddyn Gwladys",63.1,0.22,3.965,NA,66.75,5.77763953075009,0.784108117153501,0.465937645725959,24,0
"1236",64011,"Cerist at Llaw'r Cae",5.35,0.44,0.392,5.779,NA,NA,NA,NA,NA,0
"1237",65001,"Glaslyn at Beddgelert",68.6,0.32,5.839,91.631,81.9,7.80951427874054,0.599405480909248,0.585300465270895,57,0
"1238",65004,"Gwyrfai at Bontnewydd",47.9,0.42,2.32,22.13,64.35,5.90694130598528,0.228718542325158,0.510915365907166,44,0
"1239",65005,"Erch at Pencaenewydd",18.1,0.53,0.613,10.848,41.6,3.96438914577756,0.0947373780595014,0.413086578645623,45,0
"1240",65006,"Seiont at Peblic Mill",74.4,0.41,5.07,49.85,71.05,6.37854309888948,0.485374075382128,0.60589944977737,42,0
"1241",65007,"Dwyfor at Garndolbenmaen",52.4,0.38,2.704,42.614,56.4,5.55602587090164,0.338756273334917,0.494675382400095,43,0
"1242",65008,"Peris at Nant Peris",11.96,0.21,1.211,NA,110,10.0053125182035,0.112766131795687,0.523842074986712,46,0
"1243",65014,"Colwyn at Hafod Wydr",6.58,0.23,0.586,NA,82.3,8.05280487804878,0.0614872076595353,0.63998566377527,23,0
"1244",65015,"Llyfni at Pont Y Cim",48.14,0.53,2.415,NA,60.7,5.5769315001825,0.251692089114228,0.562811207467022,23,0
"1245",66001,"Clwyd at Pont-y-Cambwll",404,0.58,6.357,50.276,32.2,2.59247544296658,0.870005488181924,0.296697932391064,59,0
"1246",66002,"Elwy at Pant yr Onen",220,0.46,4.573,65.6,41.25,3.13299586776859,0.801790302573016,0.318577250775899,14,0
"1247",66004,"Wheeler at Bodfari",62.9,0.82,0.741,3.694,34.3,2.41067761806982,0.0429279868374711,0.256216116044799,47,0
"1248",66005,"Clwyd at Ruthin Weir",95.3,0.55,1.413,17.12,31.95,2.73482868244437,0.203159452996393,0.327207733209512,36,0
"1249",66006,"Elwy at Pont-y-Gwyddel",194,0.46,4.409,73.1,38.9,3.3489069680785,0.868273195001843,0.405060177559183,45,0
"1250",66011,"Conwy at Cwmlanerch",344.5,0.28,19.284,374,70.15,5.98050275904353,3.23804351903985,0.655087955917711,54,0
"1251",66012,"Lledr at Pont Gethin",72.8,0.23,5.195,NA,79.9,7.55539779681763,0.789999417201717,0.673067990741162,23,0
"1252",66025,"Clwyd at Pont Dafydd",430.81,0.58,6.637,NA,35.9,2.60708793513211,0.718357740226368,0.290067119212863,20,0
"1253",67001,"Dee at Bala",261.6,0.52,13.104,NA,57.3,5.30530309915478,1.30272039579672,0.627322039903153,61,0
"1254",67003,"Brenig at Llyn Brenig outflow",20.2,0.47,0.581,NA,41.85,3.70571918297386,0.0682266982845064,0.200779327842463,96,0
"1255",67005,"Ceiriog at Brynkinalt Weir",113.7,0.54,3.121,28.99,38.8,3.40678973717146,0.365291014256632,0.340584328144004,57,0
"1256",67006,"Alwen at Druid",184.7,0.48,5.048,77.738,44.5,3.71432260532734,0.936539454380091,0.498967122116565,58,0
"1257",67008,"Alyn at Pont-y-Capel",227.1,0.56,2.343,21.635,33.7,2.59453844952361,0.310966302966635,0.312497661569583,53,0
"1258",67009,"Alyn at Rhydymwyn",77.8,0.32,0.604,8.78,33.8,2.66628702841811,0.138450568269398,0.293077318838363,50,0
"1259",67010,"Gelyn at Cynefail",13.1,0.25,0.709,16.9,66.6,5.86398575377419,0.115280537450355,0.700471036487575,49,0
"1260",67013,"Hirnant at Plas Rhiwedog",33.9,0.4,1.239,24.081,60.35,4.66718977041558,0.239705130981789,0.54371357898255,10,0
"1261",67015,"Dee at Manley Hall",1013.18,0.54,31.314,226.5,40.4,3.86672693777293,4.26737199712861,0.480948596231259,81,0
"1262",67017,"Tryweryn at Llyn Celyn outflow",59.9,0.42,3.784,NA,64.4,5.88906957250629,0.0706111695792605,0.0946955626875182,49,0
"1263",67018,"Dee at New Inn",53.9,0.27,3.178,74.7,62.9,5.83924700835403,0.542561111754992,0.691327056699879,49,0
"1264",67023,"Golborne Brook at Tattenhall",17.7,0.38,0.09,NA,22.2,1.83260273972603,0.0120605216006371,0.0638248993936694,2,0
"1265",67025,"Clywedog at Bowling Bank",98.6,0.56,1.349,NA,30.25,2.40887816961085,0.226275301160554,0.358937289676012,42,0
"1266",67027,"Dee at Ironbridge",1674.1,0.58,38.014,NA,34.3,3.36043744333636,4.14143711039518,0.415989939181473,25,0.00245003274372043
"1267",67028,"Ceidiog at Llandrillo",36.5,0.47,1.435,NA,51.9,4.41091975082448,0.205664037684157,0.582447199683554,16,0
"1268",67029,"Trystion at Pen-y-felin Fawr",12.3,0.43,0.314,NA,40.7,3.62236842105263,0.0318761139394121,0.384788887932652,10,0
"1269",67033,"Dee at Chester Suspension Bridge",1816.8,0.5,34.078,NA,33.85,3.24758099043813,4.10408386936409,0.395887059463223,20,0.00227123794625993
"1270",68001,"Weaver at Ashbrook",622,0.54,5.668,46.817,26.4,2.01490515829694,0.955845265748306,0.20602646229264,81,0.0711275552912753
"1271",68002,"Gowy at Picton",156.2,0.51,1.229,NA,24.4,2.02151586731026,0.220324349966281,0.160217675890726,28,0
"1272",68003,"Dane at Rudheath",407.1,0.53,5.182,55.389,28.2,2.30542081593318,1.0104808926271,0.335452930597192,69,0
"1273",68004,"Wistaston Brook at Marshfield Bridge",92.7,0.59,0.914,NA,27.2,1.99729164773244,0.163712905556609,0.240924295365151,61,0
"1274",68005,"Weaver at Audlem",207,0.54,1.645,14.041,26.4,1.98789415374126,0.258314794778043,0.171459928657101,65,0.219880810238765
"1275",68006,"Dane at Hulme Walfield",150,0.48,2.388,53.477,30.7,2.75012265638689,0.555415037966131,0.302264399884171,28,0
