"id","length","NULL","Principal","SecondaryA","SecondaryU","Unproductive","SecondaryB"
"63002",10287.684392856,0,0,0,0,0,1992.74807709674
"68002",11543.9737620013,0,1278.28556955401,1564.41570316928,0,0,3402.99818359836
"68003",21841.534877761,0,1172.52073361523,1808.96342045976,0,0,1477.17873681153
"55011",7171.78707927595,0,0,906.956135000771,0,0,1632.57575940276
"55012",12708.7810852529,0,0,0.068458030071835,0,0,2173.19041045265
"53017",4204.0157802033,0,121.614969536192,1473.85475631467,10.8044196741294,0,17.2782415086542
"69035",5885.13732714743,0,6.13021304940555,1944.15959647236,0,0,376.093496979628
"72015",0,NA,NA,NA,NA,NA,NA
"55025",11430.3241779509,0,0,717.920990551255,0,0,1003.20007964314
"96005",0,NA,NA,NA,NA,NA,NA
"66005",0,NA,NA,NA,NA,NA,NA
"54067",8614.00616861202,0,89.1781634875924,664.018166386026,0,0,1086.51939697218
"72007",0,NA,NA,NA,NA,NA,NA
"66006",15799.057779617,0,0,397.731090948398,0,0,1357.33994950159
"76005",40195.7590658313,0,287.736369075899,1149.31934451299,0,0,1856.99589164456
"76010",5114.48417594242,0,12.51050438826,965.529416868371,0,0,1433.70567036302
"50005",0,NA,NA,NA,NA,NA,NA
"65006",11190.3340391849,0,0,566.158997025449,0,0,1274.299695537
"236005",45944.0306340871,2867.95066760578,0,0,0,0,0
"75018",38820.5206062024,42.5174113224784,0,19.7002407622251,0,0,3942.08184420908
"203093",66717.5221355343,1047.55109768384,415.141084464154,0,116.842676554466,0,644.416405275484
"64006",13043.9479379395,0,0,0,0,0,3174.4806652807
"54066",48.8915523030643,0,47.0623015938827,2.83592185775945,0,0,16.0918591935223
"49003",12990.5256008673,0,0,1825.43326105679,0,0,0
"106001",0,NA,NA,NA,NA,NA,NA
"73014",6392.0066182555,0,0,0,0,0,3273.27990171535
"54084",346.902293080868,0,514.454915548304,726.60780307826,0,0,1055.85937919833
"82003",19510.4032488014,666.917214236698,0,0,0,0,2519.8077737509
"83007",0,NA,NA,NA,NA,NA,NA
"83008",0,NA,NA,NA,NA,NA,NA
"90003",0,NA,NA,NA,NA,NA,NA
"56012",0,NA,NA,NA,NA,NA,NA
"89008",0,NA,NA,NA,NA,NA,NA
"83012",0,NA,NA,NA,NA,NA,NA
"73017",3268.72201853537,0,0,932.304376048313,0,0,3347.39163029659
"33023",26659.4212355217,0,112.680058907125,0,6.2357743713514,25.2961517172456,1118.69671827172
"28017",46949.983262447,0,109.764909271671,1462.33584125794,101.572170497193,0,684.366281225509
"85002",13233.1648266811,2399.79891933429,0,512.44957749638,183.530046124304,0,134.456145446377
"89004",4131.9664576704,3337.7589985294,0,0,0,0,0
"39108",5998.60017438388,0,829.25435352481,0,472.139416814511,0,1684.98850083853
"203040",472784.619441036,1429.48894460307,210.986542196608,3.19958527206769,29.2524562224712,0,476.403958785793
"81005",0,NA,NA,NA,NA,NA,NA
"19007",41568.6351609304,1937.52681096981,0,1146.93294012161,89.1264104391682,0,1093.84061510874
"23002",23453.3522649812,0,0,634.95040146527,0,0,2804.15440631487
"27048",8506.3866113504,0,905.37917966898,904.232441680793,432.777489119852,0,366.691189091467
"25001",33965.1645787514,0,1063.60434618152,848.533311585449,0,0,1726.14081403633
"23012",7849.09423476625,0,0,482.041147499316,0,0,2239.36750104142
"25005",19892.5902337099,0,652.964209340442,1317.37442093257,130.491942953373,0,220.431343968924
"23017",4611.91895779545,0,0,1386.28762435495,0,0,1839.15067263486
"24001",77404.9614551688,0,39.0158132093814,821.645482024422,0,0,2478.42005744167
"25022",0,NA,NA,NA,NA,NA,NA
"25809",0,NA,NA,NA,NA,NA,NA
"25023",4681.35913203049,0,0,365.654007926526,0,0,3292.56720751086
"27069",11899.1691168923,0,2286.26377701885,3044.04106495997,1.35604305521039,0,45.4597670114279
"27013",0,NA,NA,NA,NA,NA,NA
"27055",22610.157650905,0,563.222559972477,3074.08471908122,312.329491869554,0,280.962921779324
"27016",0,NA,NA,NA,NA,NA,NA
"27017",0,NA,NA,NA,NA,NA,NA
"27024",23404.5485171787,0,1247.55824019616,1319.69853432856,0,0,1517.17813749559
"27025",43729.727568672,0,0.0520299806278413,2319.52067425219,0,0,847.229482320529
"27034",64189.3836662744,0,417.8726008368,691.583103701151,0,0,2512.14288232327
"28047",0,NA,NA,NA,NA,NA,NA
"27043",14415.4011346183,0,425.360167326457,605.817279125267,0,0,2467.30237316834
"27061",7896.88988646697,0,242.395914418617,1387.69504029111,0,0,3559.64467989974
"28035",4881.20496561378,0,12.8673939981052,2121.33817790236,0,0,737.919272927108
"28038",0,NA,NA,NA,NA,NA,NA
"28005",160279.190353924,0,288.321603077611,437.215327567408,0,0,940.065264150973
"28006",51597.4030908541,0,492.626906457182,1518.58348085762,0,0,2688.2623343915
"28011",72800.5337861643,0,333.828056757835,1526.91847748985,0,0,891.943405663603
"43025",0,NA,NA,NA,NA,NA,NA
"42011",11100.4380601928,0,433.161919631811,401.195223316227,551.836308774858,696.193403911514,265.270059063402
"39115",8759.51900244234,0,315.235502383041,1218.58069271243,37.8278967265387,139.394924315778,320.91327704812
"32029",0,NA,NA,NA,NA,NA,NA
"57017",4432.87223058763,0,71.1510612771684,2980.54166521523,0,0,0
"39068",45676.2509739669,0,159.843246746468,721.420496775645,375.087207168155,1058.45830199451,342.489581217289
"33037",82280.424419064,0,35.8722108844232,148.606129807305,110.27483751821,1.42904536921109,1476.04044082032
