"id","Rocks with essentially no groundwater","Moderately productive aquifer","Low productivity aquifer","Highly productive aquifer","Low productive aquifer","Modeately productivity aquifer","Unknown","Significant intergranular flow","Flow is virtually all through fractures and other discontinuities"
"28067",0,1021451355.09689,136056388.513947,19109443.8880157,0,0,0,18459388.3652039,1158157799.13365
"28068",0,83983568.1921234,936744.307983398,0,0,0,0,0,84920312.5001068
"28070",0,8455937.5,0,0,0,0,0,0,8455937.5
"28072",0,0,40232586.3900146,19682101.1096802,0,0,0,19682101.1096802,40232586.3900146
"28074",646442986.45594,2587429.99217224,622218071.595436,29211824.4559784,0,0,646442986.45594,7930896.39079285,646086429.652794
"28079",0,5586925.47825623,46940201.2152557,30869123.3065948,0,0,0,30869123.3065948,52527126.693512
"28080",2755358.49750519,269733805.078743,406939894.854424,115675941.569206,0,0,2755358.49750519,115675941.569206,676673699.933167
"28081",0,153514275.192368,19469099.0159683,1481625.7914505,0,0,0,1481625.7914505,172983374.208336
"28082",12788327.141777,0,167766047.857948,0,0,0,12788327.141777,0,167766047.857948
"28083",0,176156700.35498,959020.317680359,16595216.8272629,0,0,0,16595216.8272629,177115720.672661
"28085",0,1006365112.46526,37306437.259613,7336262.77406311,0,0,0,6686207.25125122,1044321605.24768
"28086",126178304.163101,0,32008.3371734619,0,0,0,126178304.163101,0,32008.3371734619
"28087",0,169559251.628754,22380553.2127075,3849570.15853119,0,0,0,3849570.15853119,191939804.841461
"28091",29680861.9660797,50379904.7634277,0,148173920.770752,0,0,29680861.9660797,73735038.0872498,124818787.44693
"28093",631248028.420921,0,457576356.012611,21280928.0651855,0,0,631248028.420921,0,478857284.077797
"28095",2755358.49750519,389137239.689743,818800231.121445,218553108.191139,0,0,2755358.49750519,218553108.191139,1207937470.81119
"28102",2755358.49750519,23201564.1632919,164869118.157791,1349584.18132019,0,0,2755358.49750519,1349584.18132019,188070682.321083
"28103",0,13765493.8574524,602803.791015625,180139.851577759,0,0,0,200004.710769653,14348432.7892761
"28109",0,42320.0145568848,379123.545394897,10549493.9398804,0,0,0,10549493.9398804,421443.559951782
"28110",0,0,0,2800937.49994659,0,0,0,2800937.49994659,0
"28112",0,180974920.880005,899619.02935791,31209835.0910645,0,0,0,31209835.0910645,181874539.909363
"28113",983839.607849121,14244189.5060425,0,11706033.3863068,0,0,983839.607849121,4515610.57398987,21434612.3183594
"28115",3675590.28092957,0,0,26885347.219223,0,0,3675590.28092957,14187610.0024261,12697737.2167969
"28116",3675590.28092957,0,15899195.8348846,136423963.884079,0,0,3675590.28092957,123726226.667282,28596933.0516815
"28117",0,715639560.117371,31892627.3817291,0,0,0,0,46886.4895477295,747485301.009552
"28118",2728427.09417725,4906540.6486969,0,89365032.2576141,0,0,2728427.09417725,42460357.8144226,51811215.0918884
"29001",0,0,0,108746562.500015,0,0,0,8876318.78610229,99870243.713913
"29002",5975111.47436523,0,0,74447701.0255737,0,0,5975111.47436523,14528882.9952087,59918818.030365
"29003",0,0,0,56421250.0001678,0,0,0,3282861.88781738,53138388.1123505
"29004",32811962.0748291,13088397.4908447,0,13142140.4342651,0,0,32811962.0748291,0,26230537.9251099
"29005",55771597.4302673,1956883.12599182,0,5540269.44351196,0,0,55771597.4302673,3822796.34355164,3674356.22595215
"29009",11466750.157196,8881497.79211426,0,8963939.55055237,0,0,11466750.157196,0,17845437.3426666
"30001",174464689.745163,4238914.07969666,0,116972646.175781,0,0,174464689.745163,0,121211560.255478
"30002",142573716.612503,25159031.8313904,0,40129439.0563354,0,0,142573716.612503,3861405.15657043,61427065.7311554
"30003",133982694.589569,20773992.7136536,0,44721125.1967163,0,0,133982694.589569,26903089.2859955,38592028.6243744
"30004",31354411.4352722,27166147.9708557,0,1573503.09407043,0,0,31354411.4352722,28112898.126297,626752.93862915
"30005",18545457.9430237,4238914.07969666,0,100679065.477585,0,0,18545457.9430237,0,104917979.557281
"30006",4302324.27279663,17426213.9386597,0,29813336.7883453,0,0,4302324.27279663,0,47239550.727005
"3001",0,7446685.82583618,478514876.673904,0,0,0,0,0,485961562.499741
"30011",19027116.5449829,5012332.39624023,0,40508988.55867,0,0,19027116.5449829,9481716.5664978,36039604.3884125
"30012",35448066.2372131,2596669.01992798,0,170264.743057251,0,0,35448066.2372131,2707900.32394409,59033.4390411377
"30013",1416230.32629395,2070860.06840515,0,20435097.1052704,0,0,1416230.32629395,0,22505957.1736755
"30014",9441654.84996033,1484907.65020752,0,0,0,0,9441654.84996033,0,1484907.65020752
"30015",4948919.21728516,1326004.96464539,0,34999763.3181915,0,0,4948919.21728516,0,36325768.2828369
"30017",11123722.6804962,0,0,38960652.3196106,0,0,11123722.6804962,0,38960652.3196106
"30018",17827513.5557098,0,0,2571861.44429016,0,0,17827513.5557098,0,2571861.44429016
"3002",0,0,237144687.500732,0,0,0,0,0,237144687.500732
"3003",0,2996724.88279724,328671087.61731,0,0,0,0,0,331667812.500107
"30033",63715514.2421722,0,0,1969798.25784302,0,0,63715514.2421722,0,1969798.25784302
"3004",0,0,187789375.000397,0,0,0,0,0,187789375.000397
"3005",0,7446685.82583618,572751439.17395,0,0,0,0,0,580198124.999786
"3006",0,1654778.81045532,42684596.1897583,0,0,0,0,0,44339375.0002136
"31001",56713178.9701843,0,0,2183696.02961731,0,0,56713178.9701843,0,2183696.02961731
"31002",74778272.837265,160673640.340378,0,102427774.32225,0,0,74778272.837265,0,263101414.662628
"31004",501791737.940422,52683975.7131577,0,153541786.346283,0,0,501791737.940422,0,206225762.059441
"31005",379161503.238655,19762853.4662247,0,20707205.7949219,0,0,379161503.238655,0,40470059.2611465
"31006",64767595.5834503,8726964.36706543,0,75675440.0504456,0,0,64767595.5834503,0,84402404.417511
"31007",377851375.983925,17933699.218895,0,17822424.7969818,0,0,377851375.983925,0,35756124.0158768
"31008",38523565.2509613,61485114.2489929,0,31730695.5001984,0,0,38523565.2509613,0,93215809.7491913
"31009",9205125.76713562,82857170.4107819,0,70697078.8220367,0,0,9205125.76713562,0,153554249.232819
"31010",45498650.9784851,1879771.35658264,0,21434077.664566,0,0,45498650.9784851,0,23313849.0211487
"31011",4848647.89231873,23015936.1611786,0,4199165.94664001,0,0,4848647.89231873,0,27215102.1078186
"31013",18688913.8261719,21347943.143692,0,27825643.0300598,0,0,18688913.8261719,0,49173586.1737518
"31016",241141.164505005,209835.181228638,0,34773398.6543274,0,0,241141.164505005,0,34983233.835556
"31021",245473265.169624,1618922.32992554,0,0,0,0,245473265.169624,0,1618922.32992554
"31022",18257120.9908066,354129.009292603,0,0,0,0,18257120.9908066,0,354129.009292603
"31023",356372.01612854,1293.50366210938,0,3956396.98025513,0,0,356372.01612854,0,3957690.48391724
"31024",0,10567336.1649323,0,13064851.3347778,0,0,0,0,23632187.4997101
"31025",23537634.5475769,0,0,144865.452377319,0,0,23537634.5475769,0,144865.452377319
"31026",2294049.48243713,0,0,0,0,0,2294049.48243713,0,0
"31028",63479743.5045776,0,0,12492443.9961243,0,0,63479743.5045776,0,12492443.9961243
"32001",747703883.493523,797646830.238968,0,74459598.7677383,0,0,747703883.493523,0,872106429.006706
"32002",4099067.87765503,78548062.6309357,0,11811931.9913635,0,0,4099067.87765503,0,90359994.6222992
"32003",13610550.5646667,56846011.9357147,0,0,0,0,13610550.5646667,0,56846011.9357147
"32004",82819494.8377762,111538317.662292,0,0,0,0,82819494.8377762,0,111538317.662292
"32006",194039422.461823,26650577.5381241,0,0,0,0,194039422.461823,0,26650577.5381241
"32007",114640101.137222,118386148.862503,0,0,0,0,114640101.137222,0,118386148.862503
"32008",100746542.831062,3510957.16893005,0,0,0,0,100746542.831062,0,3510957.16893005
"32010",714385123.673607,769477711.334091,0,32208414.9923019,0,0,714385123.673607,0,801686126.326393
"32012",15926392.1977386,38015170.302124,0,0,0,0,15926392.1977386,0,38015170.302124
"32016",0,6419062.50009155,0,0,0,0,0,0,6419062.50009155
"32019",19295192.4555054,37086682.544548,0,0,0,0,19295192.4555054,0,37086682.544548
"32020",4758723.06967163,8219300.81436157,0,32023851.1159821,0,0,4758723.06967163,0,40243151.9303436
"32029",7539433.82843018,772753.671630859,0,0,0,0,7539433.82843018,0,772753.671630859
"32031",28657631.4218521,47312056.078064,0,0,0,0,28657631.4218521,0,47312056.078064
"33001",1971274062.68939,606425619.850754,0,456989692.458977,0,0,1971274062.68939,232100903.641937,831314408.667793
"33002",780940855.398468,593641603.908508,0,95122540.6930695,0,0,780940855.398468,66617213.9606857,622146930.640892
"33003",174052355.17939,9293552.12547302,3536693.26320648,620441149.432091,0,0,174052355.17939,29604822.5468216,603666572.273949
"33004",0,17312510.0112,0,446844052.487686,0,0,0,17312510.0112,446844052.487686
"33005",201795765.120781,185865797.379234,0,0,0,0,201795765.120781,0,185865797.379234
"33006",0,0,0,259363437.500305,0,0,0,0,259363437.500305
"33007",4585052.07452393,366217.477340698,0,142436230.447876,0,0,4585052.07452393,366217.477340698,142436230.447876
"33009",688590561.845497,539834084.961479,0,95122540.6930695,0,0,688590561.845497,66617213.9606857,568339411.693863
"33011",0,14392435.2081299,0,114951939.791779,0,0,0,14392435.2081299,114951939.791779
"33012",137175067.236252,980870.26361084,0,0,0,0,137175067.236252,0,980870.26361084
"33013",0,82591081.1722107,0,113564856.328049,0,0,0,82591081.1722107,113564856.328049
"33014",0,17312510.0112,0,256728114.988129,0,0,0,17312510.0112,256728114.988129
"33015",201717319.030167,11558213.7324295,0,68520404.7375336,0,0,201717319.030167,40015078.0051498,40063540.4648132
"33016",154331505.151665,7147897.92442322,3536693.26320648,604175466.160866,0,0,154331505.151665,27459168.3457718,587400889.002724
"33017",1810767515.10718,606425619.850754,0,452304990.041161,0,0,1810767515.10718,227416201.224121,831314408.667793
"33018",47211838.2443237,85330349.2556915,0,0,0,0,47211838.2443237,0,85330349.2556915
"33019",0,0,0,311375624.999954,0,0,0,0,311375624.999954
"33020",212728125.000061,0,0,0,0,0,212728125.000061,0,0
"33021",74232278.8534622,3692742.11503601,0,230121541.531807,0,0,74232278.8534622,3692742.11503601,230121541.531807
